/////////////////////////////////////

Block List
2019/10/18 01:29:57

/////////////////////////////////////

ID,RegisterName,UnlocalizedName,LightLevel,OpacityLevel
235,malisisdoors:wood_sliding_door,tile.wood_sliding_door,0,0
236,malisisdoors:iron_sliding_door,tile.iron_sliding_door,0,0
237,malisisdoors:jail_door,tile.jail_door,0,0
238,malisisdoors:laboratory_door,tile.laboratory_door,0,0
239,malisisdoors:factory_door,tile.factory_door,0,0
240,malisisdoors:shoji_door,tile.shoji_door,0,0
241,malisisdoors:curtain_black,tile.curtain_black,0,0
242,malisisdoors:curtain_red,tile.curtain_red,0,0
243,malisisdoors:curtain_green,tile.curtain_green,0,0
244,malisisdoors:curtain_brown,tile.curtain_brown,0,0
245,malisisdoors:curtain_blue,tile.curtain_blue,0,0
246,malisisdoors:curtain_purple,tile.curtain_purple,0,0
247,malisisdoors:curtain_cyan,tile.curtain_cyan,0,0
248,malisisdoors:curtain_silver,tile.curtain_silver,0,0
249,malisisdoors:curtain_gray,tile.curtain_gray,0,0
250,malisisdoors:curtain_pink,tile.curtain_pink,0,0
251,malisisdoors:curtain_lime,tile.curtain_lime,0,0
252,malisisdoors:curtain_yellow,tile.curtain_yellow,0,0
253,malisisdoors:curtain_light_blue,tile.curtain_light_blue,0,0
254,malisisdoors:curtain_magenta,tile.curtain_magenta,0,0
255,malisisdoors:curtain_orange,tile.curtain_orange,0,0
409,malisisdoors:curtain_white,tile.curtain_white,0,0
410,malisisdoors:saloon,tile.saloon,0,0
411,malisisdoors:acaciaFenceGate,tile.acaciaFenceGate,0,0
412,malisisdoors:birchFenceGate,tile.birchFenceGate,0,0
413,malisisdoors:darkOakFenceGate,tile.darkOakFenceGate,0,0
414,malisisdoors:jungleFenceGate,tile.jungleFenceGate,0,0
415,malisisdoors:spruceFenceGate,tile.spruceFenceGate,0,0
416,malisisdoors:camoFenceGate,tile.camoFenceGate,0,0
423,malisisdoors:iron_trapdoor,tile.iron_trapdoor,0,0
424,malisisdoors:sliding_trapdoor,tile.sliding_trapdoor,0,0
425,malisisdoors:trapdoor_acacia,tile.trapdoor_acacia,0,0
426,malisisdoors:trapdoor_birch,tile.trapdoor_birch,0,0
427,malisisdoors:trapdoor_dark_oak,tile.trapdoor_dark_oak,0,0
428,malisisdoors:trapdoor_jungle,tile.trapdoor_jungle,0,0
429,malisisdoors:trapdoor_spruce,tile.trapdoor_spruce,0,0
430,malisisdoors:player_sensor,tile.player_sensor,0,0
431,malisisdoors:vanishing_block,tile.vanishing_block,0,0
432,malisisdoors:vanishing_block_diamond,tile.vanishing_block_diamond,0,0
433,malisisdoors:block_mixer,tile.block_mixer,0,255
434,malisisdoors:mixed_block,tile.mixed_block,0,0
435,malisisdoors:garage_door,tile.garage_door,0,0
436,malisisdoors:door_factory,tile.door_factory,0,255
437,malisisdoors:null,tile.null,0,0
438,malisisdoors:rustyHatch,tile.rustyHatch,0,0
439,malisisdoors:rustyLadder,tile.rustyLadder,0,0
440,malisisdoors:carriage_door,tile.carriage_door,0,0
441,malisisdoors:medieval_door,tile.medieval_door,0,0
442,malisisdoors:forcefieldDoor,tile.forcefieldDoor,0,0
443,RTM:rtm:LRBase,tile.rtm:LRBase,0,0
444,RTM:rtm:LRCore,tile.rtm:LRCore,0,0
445,RTM:rtm:LRSBase,tile.rtm:LRSBase,0,0
446,RTM:rtm:LRSCore,tile.rtm:LRSCore,0,0
447,RTM:rtm:LRLBase,tile.rtm:LRLBase,0,0
448,RTM:rtm:LRLCore,tile.rtm:LRLCore,0,0
449,RTM:LRBase_0,tile.rtm:LRBase.0,0,0
450,RTM:LRCore_0,tile.rtm:LRCore.0,0,0
451,RTM:LRSBase_0,tile.rtm:LRSBase.0,0,0
452,RTM:LRSCore_0,tile.rtm:LRSCore.0,0,0
453,RTM:LRLBase_0,tile.rtm:LRLBase.0,0,0
454,RTM:LRLCore_0,tile.rtm:LRLCore.0,0,0
455,RTM:LRBase_1,tile.rtm:LRBase.1,0,0
456,RTM:LRCore_1,tile.rtm:LRCore.1,0,0
457,RTM:LRSBase_1,tile.rtm:LRSBase.1,0,0
458,RTM:LRSCore_1,tile.rtm:LRSCore.1,0,0
459,RTM:LRLBase_1,tile.rtm:LRLBase.1,0,0
460,RTM:LRLCore_1,tile.rtm:LRLCore.1,0,0
461,RTM:LRBase_2,tile.rtm:LRBase.2,0,0
462,RTM:LRCore_2,tile.rtm:LRCore.2,0,0
463,RTM:LRSBase_2,tile.rtm:LRSBase.2,0,0
464,RTM:LRSCore_2,tile.rtm:LRSCore.2,0,0
465,RTM:LRLBase_2,tile.rtm:LRLBase.2,0,0
466,RTM:LRLCore_2,tile.rtm:LRLCore.2,0,0
467,RTM:LRBase_3,tile.rtm:LRBase.3,0,0
468,RTM:LRCore_3,tile.rtm:LRCore.3,0,0
469,RTM:LRSBase_3,tile.rtm:LRSBase.3,0,0
470,RTM:LRSCore_3,tile.rtm:LRSCore.3,0,0
471,RTM:LRLBase_3,tile.rtm:LRLBase.3,0,0
472,RTM:LRLCore_3,tile.rtm:LRLCore.3,0,0
473,RTM:LRBase_4,tile.rtm:LRBase.4,0,0
474,RTM:LRCore_4,tile.rtm:LRCore.4,0,0
475,RTM:LRSBase_4,tile.rtm:LRSBase.4,0,0
476,RTM:LRSCore_4,tile.rtm:LRSCore.4,0,0
477,RTM:LRLBase_4,tile.rtm:LRLBase.4,0,0
478,RTM:LRLCore_4,tile.rtm:LRLCore.4,0,0
479,RTM:LRBase_5,tile.rtm:LRBase.5,0,0
480,RTM:LRCore_5,tile.rtm:LRCore.5,0,0
481,RTM:LRSBase_5,tile.rtm:LRSBase.5,0,0
482,RTM:LRSCore_5,tile.rtm:LRSCore.5,0,0
483,RTM:LRLBase_5,tile.rtm:LRLBase.5,0,0
484,RTM:LRLCore_5,tile.rtm:LRLCore.5,0,0
485,RTM:rtm:marker,tile.rtm:marker,15,0
486,RTM:rtm:markerSwitch,tile.rtm:markerSwitch,15,0
487,RTM:rtm:markerSlope,tile.rtm:markerSlope,15,0
488,RTM:rtm:fluorescent,tile.rtm:fluorescent,15,0
489,RTM:rtm:ironPillar,tile.rtm:ironPillar,0,0
490,RTM:rtm:insulator,tile.rtm:insulator,0,0
491,RTM:rtm:signal,tile.rtm:signal,0,0
492,RTM:rtm:crossing,tile.rtm:crossing,0,0
493,RTM:rtm:Variable,tile.rtm:Variable,0,0
494,RTM:rtm:linePole,tile.rtm:linePole,0,0
495,RTM:rtm:connector,tile.rtm:connector,0,0
496,RTM:rtm:powerUnit,tile.rtm:powerUnit,0,255
497,RTM:signal_converter,tile.rtm:signalConverter,0,255
498,RTM:rtm:railroadSign,tile.rtm:railroadSign,0,0
499,RTM:rtm:turnstile,tile.rtm:turnstile,0,0
500,RTM:rtm:point,tile.rtm:point,0,0
501,RTM:rtm:rsWire,tile.rtm:rsWire,0,0
502,RTM:rtm:signboard,tile.rtm:signboard,0,0
503,RTM:rtm:trainWorkBench,tile.rtm:trainWorkBench,0,255
504,RTM:ticketVendor,tile.rtm:ticketVendor,0,0
505,RTM:mirror,tile.rtm:mirror,0,0
506,RTM:mirror_cube,tile.rtm:mirror,0,0
507,RTM:station_core,tile.rtm:stationCore,0,255
508,RTM:moving_machine,tile.rtm:movingMachine,0,255
509,RTM:light_block,tile.rtm:right,0,0
510,RTM:rtm:fireBrick,tile.rtm:fireBrick,0,255
511,RTM:rtm:hotStoveBrick,tile.rtm:hotStoveBrick,0,255
512,RTM:rtm:pipe,tile.rtm:pipe,0,0
513,RTM:rtm:slot,tile.rtm:slot,0,255
514,RTM:rtm:furnaceFire,tile.rtm:furnaceFire,15,0
515,RTM:rtm:exhaustGas,tile.rtm:exhaustGas,0,0
516,RTM:rtm:pigIron_L,tile.rtm:pigIron_L,15,0
517,RTM:rtm:steel_L,tile.rtm:steel_L,15,0
518,RTM:rtm:slag,tile.rtm:slag,15,0
519,RTM:rtm:converterCore,tile.rtm:converterCore,15,0
520,RTM:rtm:converterBase,tile.rtm:converterBase,0,0
521,RTM:rtm:steelSlab,tile.rtm:steelSlab,0,0
522,RTM:rtm:brickSlab,tile.rtm:brickSlab,0,0
523,RTM:rtm:brickDoubleSlab,tile.rtm:brickSlab,0,255
524,RTM:rtm:steelMaterial,tile.rtm:steelMaterial,0,255
525,RTM:scaffold,tile.rtm:scaffold,0,0
526,RTM:scaffold_stairs,tile.rtm:scaffoldStairs,0,0
527,RTM:framework,tile.rtm:framework,0,0
528,RTM:paint,tile.rtm:paint,0,0
529,RTM:flag,tile.rtm:flag,0,0
530,RTM:effect,tile.rtm:effect,0,0
531,cfm:lampon,tile.lampon,15,0
532,cfm:lampoff,tile.lampoff,0,0
533,cfm:coffetablewood,tile.coffetablewood,0,0
534,cfm:coffetablestone,tile.coffetablestone,0,0
535,cfm:tablewood,tile.tablewood,0,0
536,cfm:tablestone,tile.tablestone,0,0
537,cfm:chairwood,tile.chairwood,0,0
538,cfm:chairstone,tile.chairstone,0,0
539,cfm:freezer,tile.freezer,0,0
540,cfm:fridge,tile.fridge,0,0
541,cfm:cabinet,tile.cabinet,0,0
542,cfm:couch,tile.couch,0,0
543,cfm:blindon,tile.blindon,0,0
544,cfm:blindoff,tile.blindoff,0,255
545,cfm:curtainon,tile.curtainon,0,0
546,cfm:curtainoff,tile.curtainoff,0,255
547,cfm:bedsidecabinet,tile.bedsidecabinet,0,0
548,cfm:oven,tile.oven,0,0
549,cfm:ovenoverhead,tile.ovenoverhead,7,0
550,cfm:hedge,tile.hedge,0,0
551,cfm:birdbath,tile.birdbath,0,0
552,cfm:stonepath,tile.stonepath,0,0
553,cfm:whitefence,tile.whitefence,0,0
554,cfm:tap,tile.tap,0,0
555,cfm:mailbox,tile.mailbox,0,0
556,cfm:tv,tile.tv,0,0
557,cfm:computer,tile.computer,0,0
558,cfm:printer,tile.printer,0,0
559,cfm:electricfence,tile.electricfence,3,0
560,cfm:doorbell,tile.doorbell,0,0
561,cfm:firealarmoff,tile.firealarmoff,3,0
562,cfm:firealarmon,tile.firealarmon,15,0
563,cfm:ceilinglightoff,tile.ceilinglightoff,0,0
564,cfm:ceilinglighton,tile.ceilinglighton,15,0
565,cfm:stereo,tile.stereo,0,0
566,cfm:toilet,tile.toilet,0,0
567,cfm:basin,tile.basin,0,0
568,cfm:wallcabinet,tile.wallcabinet,0,0
569,cfm:bath1,tile.bath1,0,0
570,cfm:bath2,tile.bath2,0,0
571,cfm:showerbottom,tile.showerbottom,0,0
572,cfm:showertop,tile.showertop,0,0
573,cfm:showerheadoff,tile.showerheadoff,0,0
574,cfm:showerheadon,tile.showerheadon,0,0
575,cfm:bin,tile.bin,0,0
576,cfm:present,tile.present,0,0
577,cfm:tree,tile.tree,4,0
578,cfm:toaster,tile.toaster,0,0
579,cfm:microwave,tile.microwave,0,0
580,cfm:washingmachine,tile.washingmachine,0,0
581,cfm:cookiejar,tile.cookiejar,0,0
582,cfm:blender,tile.blender,0,0
583,cfm:plate,tile.plate,0,0
584,cfm:cup,tile.cup,0,0
585,cfm:counterdoored,tile.counterdoored,0,0
586,cfm:countersink,tile.countersink,0,0
587,cfm:dishwasher,tile.dishwasher,0,0
588,cfm:kitchencabinet,tile.kitchencabinet,0,0
589,cfm:choppingboard,tile.choppingboard,0,0
590,cfm:barstool,tile.barstool,0,0
591,cfm:hey,tile.hey,0,255
592,cfm:nyan,tile.nyan,0,255
593,cfm:pattern,tile.pattern,0,255
594,cfm:yellowGlow,tile.yellowGlow,0,255
595,cfm:whiteGlass,tile.whiteGlass,0,255
596,stationsMod:NotoMod.stationMaterial,tile.NotoMod.stationMaterial,0,255
597,stationsMod:NotoMod.stationFence,tile.NotoMod.stationFence,0,0
598,stationsMod:NotoMod.blockPillar,tile.NotoMod.stationPillar,0,0
599,stationsMod:NotoMod.namePlate,tile.NotoMod.namePlate,0,0
600,stationsMod:NotoMod.ticketMachine,tile.NotoMod.ticketMachine,0,0
601,stationsMod:NotoMod.railToy,tile.NotoMod.toyRail,0,0
602,stationsMod:NotoMod.shutter,tile.NotoMod.shutter,0,0
603,BambooMod:bamboo,tile.bamboo,0,0
604,BambooMod:bamboosingle,tile.bamboosingle,0,0
605,BambooMod:bamboo2,tile.bamboo2,0,0
606,BambooMod:blockbambooshoot,tile.blockbambooshoot,0,0
607,BambooMod:singleTexDeco,tile.singleTexDeco,0,0
608,BambooMod:kitunebi,tile.kitunebi,15,0
609,BambooMod:jpChest,tile.jpChest,0,255
610,BambooMod:dirSquare,tile.dirSquare,0,1
611,BambooMod:halfDirSquare,tile.halfDirSquare,0,1
612,BambooMod:andon,tile.andon,14,0
613,BambooMod:bambooPanel,tile.bambooPanel,0,0
614,BambooMod:sakuraLeaves,tile.sakuraLeaves,10,1
615,BambooMod:sakuraSapling,tile.sakuraSapling,0,0
616,BambooMod:kayabukiRoof,tile.kayabukiRoof,0,255
617,BambooMod:spaWater,tile.spaWater,0,0
618,BambooMod:spaUnit,tile.spaUnit,0,255
619,BambooMod:sakuraLog,tile.sakuraLog,0,255
620,BambooMod:delude_width,tile.delude_width,0,0
621,BambooMod:delude_height,tile.delude_height,0,0
622,BambooMod:delude_stair,tile.delude_stair,0,0
623,BambooMod:campfire,tile.campfire,13,0
624,BambooMod:deco,tile.deco,0,255
625,BambooMod:halfDeco,tile.halfDeco,0,0
626,BambooMod:twoDirDeco,tile.twoDirDeco,0,255
627,BambooMod:halfTwoDirDeco,tile.halfTwoDirDeco,0,0
628,BambooMod:kawara_stair,tile.kawara_stair,0,255
629,BambooMod:wara_stair,tile.wara_stair,0,255
630,BambooMod:decoCarpet,tile.decoCarpet,0,0
631,BambooMod:thickSakuraPillar,tile.thickSakuraPillar,0,0
632,BambooMod:thinSakuraPillar,tile.thinSakuraPillar,0,0
633,BambooMod:thickOrcPillar,tile.thickOrcPillar,0,0
634,BambooMod:thinOrcPillar,tile.thinOrcPillar,0,0
635,BambooMod:thickSprucePillar,tile.thickSprucePillar,0,0
636,BambooMod:thinSprucePillar,tile.thinSprucePillar,0,0
637,BambooMod:thickBirchPillar,tile.thickBirchPillar,0,0
638,BambooMod:thinBirchPillar,tile.thinBirchPillar,0,0
639,BambooMod:delude_plate,tile.delude_plate,0,0
640,BambooMod:ricePlant,tile.ricePlant,0,0
641,BambooMod:bambooMillStone,tile.bambooMillStone,0,0
642,BambooMod:bambooMoss,tile.bambooMoss,0,255
643,BambooMod:bambooMultiPot,tile.bambooMultiPot,0,0
